Date,Time,ID,Name,Comments
2021/12/07,00:06:39:17,883060,NTV SOCIAL MEDIA STING_SMALLER TEXT,New Clip
2021/12/07,00:06:54:16,1169610,AKILI_02_HANDS GD,New Clip
2021/12/07,00:08:14:08,1285998,NTV NEWS NINA SHABAN PROMO-0032,New Clip
2021/12/07,00:08:47:07,1228416,PSAs_2_eng ,New Clip
2021/12/07,00:09:42:19,1184701,Kwetu Mixx_ BREAK_BUMPER,(null)
2021/12/07,00:09:50:06,1292265,GLAD YOU ARE WATCHING WITH KMC,New Clip
2021/12/07,00:10:06:20,1292637,061221_KWETU MIX_PT 2_DUR 1522,New Clip
2021/12/07,00:25:29:12,883060,NTV SOCIAL MEDIA STING_SMALLER TEXT,New Clip
2021/12/07,00:25:44:11,1285986,UP NEXT WITH STARTIMES  CHRISTMAS,(null)
2021/12/07,00:25:58:23,1269423,GEN -WARD KENYA POLITICS,(null)
2021/12/07,00:26:49:18,1169608,AKILI_04_HANDS GD,New Clip
2021/12/07,00:27:31:11,1184701,Kwetu Mixx_ BREAK_BUMPER,(null)
2021/12/07,00:27:38:23,1292265,GLAD YOU ARE WATCHING WITH KMC,New Clip
2021/12/07,00:27:55:12,1292638,061221_KWETU MIX_PT 3_DUR 1515,New Clip
2021/12/07,00:43:11:05,847720,NTV_STATION ID_MUSIC ONLY_FINAL mov,New Clip
2021/12/07,00:43:26:01,844071,CNN_coming up,New Clip
2021/12/07,00:43:38:02,1291801,COMING UP WITH EQUITY BANK,(null)
2021/12/07,00:43:56:23,1169616,NMG Corona PSA 4 BEST,New Clip
2021/12/07,00:44:36:23,1246525,GEN - NTV JIONI PROMOgd,(null)
2021/12/07,00:45:57:18,1109714,NTV_STATION ID_MUSIC AND VOICE IDENT _FINAL mov,New Clip
2021/12/07,00:46:14:00,1109714,NTV_STATION ID_MUSIC AND VOICE IDENT _FINAL mov,New Clip
2021/12/07,04:09:25:07,000000,BLACK,(null)
2021/12/07,04:09:45:19,000000,BLACK,(null)
2021/12/07,05:15:44:12,847720,NTV_STATION ID_MUSIC ONLY_FINAL mov,New Clip
2021/12/07,05:15:59:08,1284185,NTV  PROGRAMME WITH SOIL MERCHANTS,(null)
2021/12/07,05:16:15:07,1257616,Off The Hook_COMING UP,New Clip
2021/12/07,05:16:22:08,1291801,COMING UP WITH EQUITY BANK,(null)
2021/12/07,05:16:41:04,1283025,RUFFTONE_MUNGU BABA,New Clip
2021/12/07,05:17:26:04,1077794,AKILI_01_HANDS,(null)
2021/12/07,05:18:26:04,1292590,SPRITE_061221_NXT_RETURN OF LUCAS_0050 GOOD,New Clip
2021/12/07,05:19:16:08,1246247,WADR 0N CORRUPTION-0037,(null)
2021/12/07,05:19:53:09,1109717,NTV_STATION ID_MUSIC AND SLOGAN_FINAL mov,(null)
2021/12/07,05:20:09:09,846289,PG RATINGS NEW_GE,(null)
2021/12/07,05:20:18:22,1292703,071221_OFF THE HOOK_PT 1_DUR 1932,New Clip
2021/12/07,05:39:51:12,883060,NTV SOCIAL MEDIA STING_SMALLER TEXT,New Clip
2021/12/07,05:40:06:11,1209287,KWETU MIX GENERIC PROMO March 2021 TX,(null)
